Reviews,Date
"bagus !! Animasi dafa lulu seru bangeet , tapi sayang nya banyak yg berbayar.Jadi susah kalo mau belajar apalagi yg kelas VI tentang pubertas hadeuh BAYAR SEMUAAAAA !! pls banyakkin yg gratis!!banyak yang ga mampu lohh :((",16 Maret 2024
"penjelasan lengkap, tapi tolong kak penjelasannya jangan terlalu mutar mutar. untuk drill soal suka sekali bermasalah, soal eror dan tidak keluar atau exp yang sudah diraih malah ga masuk akun, jadi sayang banget udah ngerjain 50an soal malah ga masuk xpnya",3 April 2024
Tampilan atau UI-nya sangat user friendly. Video penjelasan sangat mudah dipahami. Overall mantap sih 🙏,10 Maret 2024
"Pembelajaran mudah di pahami, kelas online nya sangat lengkap tidak sia-sia jika ambil paket bimbel disini, materi semuanya keluar tertata dengan rapih",14 Maret 2024
"Aplikasi yg sangat bagus, mempermudah siswa belajar dan membuat belajar pun lebih menyenangkan, semoga ruangguru dapat terus berkembang dan mendidik murid lainnya dengan menyenangkan juga🙏",5 Maret 2024
"Kadang terjadi banyak sekali lag, yang disuruh login ulang lah, yang disuruh verifikasi pas saya menggunakan mode offline padahal udah tak download loh videonya. Aneh betul. Lantas kadang pas drill soal banyak soal yang tidak lengkap itu mau ngomong apa, kaya kepotong, tombol submit juga kadang lag. Perbaiki lagi yah, untuk sisanya udah bagus!",5 Desember 2023
"Aplikasi tempat belajar yang bagus menurut saya dengan biaya terjangkau serta penjelasan video pembelajaran yang mudah dimengerti. Pelajaran nya lengkap sekali karena materinya mengikuti pusat jadi yang tidak diajarkan di sekolah diajarkan di Ruangguru. Kendala nya hanya berada di pengembangan aplikasi nya saja, karena di waktu tertentu terjadi gejala bug dan buffering meskipun jaringan kita tidak terkendala. saya harap kendala tersebut dapat di kurangi.",31 Januari 2024
"Notifikasi barunya bikin kaget terus, notifikasi nya kyk yang lama aja kalau bisa yg bunyinya ""Ruang guru""",8 Mei 2024
"Baru mulai menggunakan, khusus materi bagi guru. Sangat membantu bagi guru, khususnya yang ingin mencari metode pembelajaran yang relevan",27 April 2024
Aplikasi ruang guru itu sangat bagus karena pembelajaran yang lengkap dan juga perkembangan proses belajar juga sangat bagus,27 April 2024
"aplikasi kurang maksimal, banyak erornya. harus tingkatin lagi di pengembangan aplikasi dan web juga.",29 April 2024
"Kenapa saat ini banyak bug di appnya,kadang video tidak bisa dibuka padahal signal aman² aja, pemberitahuannya hanya sistem sedang error,padahal pembelajarannya sangat membantu",20 Februari 2024
"Mantap, aplikasi nya ngedukung anak buat belajar.., dan materi nya jelas dan dapat di pahami..terima kasih ruang guru 🤗😇",9 Maret 2024
"Sejak saya menggunakan aplikasi ini alhamdulillah sangat membantu saya dalam mempelajari soal soal yg sulit dikerjakan, dan semoga kedepan menjadi aplikasi bimbel yg memiliki user yg banyak",18 April 2024
"Aplikasinya bagus, fiturnya tambahin lagi misalnya ada soal tryout yang tidak jelas bisa dilaporkan. Cuman ada satu hal yg bikin jengkel, kalau kelas offline ada aja MT yang ngajar banyak bercandanya, ngobrol hal yang gajelas out of the topic sampe satu kelas berisik. Alhasil disana belajar sendiri, giliran dia minta dihargain penjelasannya jujur aja, malah bikin gamood belajar. Udah gitu nyindir banget trus bawaannya caper ke satu temen kelas. Gatau jadi omongan MT/engga gw ini tolonglah ngerti",23 April 2024
"Terasa banget premiumnya gak nyesel buat berlangganan, banyak fitur keren dan penjelasannya yang berkualitas",8 April 2024
Bagus banget aplikasinya 👍 anak saya jadi ketagihan terus buka ruang guru makasih banyak sudah menciptakan aplikasi untuk belajar menjadi lebih seru,18 Maret 2024
"Seruuuuu bangettt belajar di ruangguru, selain ada animasi juga ada kuis di tiap video belajarnya, jadi kita bisa lebih paham lagi terkait materi yang sudah diberikan sebelumnya",25 Maret 2024
Kasih bintang 1 dulu soalnya apk nya lagg parah fitur² nya udah ok hanya saja brain academy nya lag parah kadang² suka ngeror sendiri untuk kedepannya mohon diperbaiki 🙏🙏,25 April 2024
"Rekomended bgtt aplikasi satu ini benar"" membantu, dan penjelasannya pun sangat mudah di mengerti",1 April 2024
"ini ruangguru skrg knp dah, pada error semua, countdown snbt harusnya belasan hari jadi 99 hari, menu playlist belajar jg ilang, kacau",18 April 2024
"Terimakasih ruangguru ... Good sekali..rasanya feedback aku kemarin terjawabkan. sekarang, materi yang kurang lengkap bisa langsung ditanya ke ruangguru jadi gaperlu bingung kalau materi yang gak ketemu..💐✨💗 dan sedikit saran lagi untuk tryout itu kalau bisa ada 2 kurikulum karena sekarang udah 2 kurikulum jadi pelajaran nya beda🥹 tingkatkan terus ruangguru 💕",3 Desember 2023
"Setelah berlangganan 2 tahun, kok kualitas menurun ya. - Saya sering komplen di aplikasi tapi sampai saat ini tidak direspon. - Kurikulum Merdeka tidak lengkap, seperti IPS hanya ada bab I (kan kurikulum merdeka sudah berjalan hampir 2th). - Lanjut untuk beberapa jawaban sering ngaco, kadang tidak sama dengan yg kita pelajari, seperti ttg Sejarah, IPA, Bahasa Indonesia dan Bahasa Inggris (kurang lengkap BAB nya), Pancasila (BAB dan Vidio hanya satu), - Aplikasi sering error(tidak ada kuota)",29 November 2023
"Bagus bgttt, aku suka dan bisa menambah ilmu lebih luas, aku yg belum paham bgt dgn pecahan campuran skrg jadi bisaa",20 Maret 2024
Aplikasinya sangat berguna bagi para pelajar untuk mengejar atau menguasai suatu materi. Juga terdapat fitur yang membuat kita merasa berkompetisi dan bekerjasama dengan pelajar lain. Dan masih banyak fitur lain yang membantu terutama dalam proses pembelajaran. Ruangguru dirancang untuk memudahkan siswa untuk belajar kapanpun dan dimanapun. Terimakasih Ruangguru 🙏,10 Januari 2024
"Ralat ya, sebelumnya aku udah kasih 5 bintang ke ruangguru tapi skrg aku ubah. Karena ada masalah ketika di video materi tentang kimia kelas 10 kurmer ketika mau di screenshot, suka error terus dan gapernah masuk ke screenshot, padahal udah berulang kali berhari² tapi tetep aja gabisa, Udah komplain ke cs tanggapannya cuma ""mUngKin iTu kArena IntErneTnya erRor kAk"", gak. Aku udh coba di video yang lain di waktu yang sama dan internet yang sama itu bisa. Masih ada lagi sih cuma gacukup. Makasih",8 Januari 2024
Sebenarnya bagussih tapi setiap mau kuis harus beli paket jadi gak semangat,7 Mei 2024
Saya belajar di aplikasi ruang guru 1 tahun dan aku sekarang pintar dari semua hal,6 Mei 2024
"Fitur Drill soal tolong diperbaiki, pilihan ganda selalu hilang bahkan terkadang yang hilang soalnya, saya kerjain apa jadinya🤷",8 Maret 2024
"Bagus sih,cuman setiap kali aku masuk ke aplikasinya harus lengkapin data sekolahku,padahal sudah aku lengkapin setelah aku login. Tolong diperbaiki ya🙏😊.",20 Maret 2024
"Aplikasi nya bagus banget buat belajar kita bisa lebih cepet paham dan materinya lengkap mulai sd, smp, sma, dan smk",23 Maret 2024
"baguss tapii makin kesini tuh entah kenapa gak bisa dibuka drilling soal tuh, entah karena bug atau apa, udah lama gak buka drilling soal padahal butuh banget, selain itu kadang latihan bab gak bisa dibuka, tapi kadang aja, beda dengan drilling soal yg saya sendiri baru pakai beberapa kali setelah itu gak bisa dipake lagi sampai hari ini.",4 Februari 2024
"Kecepatan 22 Mbps, tapi gak bisa klaim voucher, udah 5 menitan muter² aja. Untung belum terlanjur langganan.",21 Maret 2024
Ruangguru bikin aku makin rajin belajar karena fiturnya yang asik dan vidio yg edukatif.mantab!!,15 April 2024
Minta tolong dong kalo malem jangan ada lag terus setiap malem pasti ada gangguan membuat tidak nyaman,7 Maret 2024
"Bagus dan efektif cocok jadi aplikasi belajar apalagi saya suka bahasa Indonesia, pembahasan nya juga lengkap bangettt.",28 April 2024
"Aplikasi nya bagus banget , gurunya menyenangkan, pelajaran nya ringkas. Apalagi dengan fitur adapto pelajaran jadi menyenangkan.. Buruan deh kalain download aplikasi nya , dan berlangganan, nggak nyesel dehh Tapi Rg sekarang kok ngebug yaaaa drill soal kok ga bisa di submit",5 Januari 2024
"tambahkan fitur tap tahan lama di layar untuk forward ⏩ 2x, seperti yang marak pada player video terkini (TikTok, YouTube, dll) & subtitle (CC) yang membantu ketika belajar di RG dalam suasana ramai.",9 Januari 2024
"Sebenarnya sudah cukup bagus, tapi kenapa ya ketika saya ingin mengerjakan soal, pertanyaan dan jawabannya itu tidak muncul??",15 Maret 2024
"lumayan luas kalau mau belajar utbk, bisa dari dasar dan latihan soal juga tersedia jadi bagus👍",20 April 2024
"Dari segi fitur lengkap banget, tapi dalam penyajian materi terbelit2 bikin ngantuk, adapto lumayan sih langsung ke intinya tapi dari segi penyampaian materi kalah telak sama tutor2 zenius.",14 Maret 2024
"Desainnya bagus, interaktif, kreatif, mudah2an bermanfaat terus buat anak2..",7 Mei 2024
Aplikasi ini sangat membantu saya untuk belajar di rumah ruang guru semangat ya meningkatkan aplikasinya lagi,17 April 2024
"overall good, penjelasan nya yang mudah di pahami,pertayaan yang membuat makin seru",28 April 2024
"Aplikasinya bagussssssssssssss bgt buat belajar, awal belajar dapet gratis tapi skrng malah bayar sedih bgt🤧",19 April 2024
"Ruangguru bikin cepat paham pelajaran di sekolah. Pokoknya , kalau ada pelajaran yang tidak kalian mengerti , tonton aja di ruangguru , dijamin bikin cepat paham",18 April 2024
"cara buka ruangbelajar d versi terbaru bagaimana, kok tampilannya hilang bikin susah mau belajar",21 April 2024
"Ruangguru bantu banget belajar akuu duendhsjsj, suka banget deh🐝 penjelasan nya gk belibet dan aku bisa langsung ngerti hee, apalagi pake Adapto",20 Maret 2024
Baru pertama kali menggunakan ruang guru dan sangat bagus tempat utk belajar,28 April 2024
"Pas awal download dan berlangganan lancar lancar aja, tapi baru-baru ini kenapa jadi lemot banget dan pembahasan soalnya kadang blank, jadi ga bisa evaluasi dan lihat pembahasan. Udah beberapa kali instal ulang dan masih sama, kenapa ya? tolong di perbaiki/ bantu jawab. terimakasih",6 Desember 2023
"Lemot, bikin kesel, kalah sm game yg make memo 15gb, aneh internet lancar kok lemot, padahal memo juga masih 12gb, ckkckckck perbaiki lg, ato bisa ku bilang ni apk g 'fine'.",24 April 2024
Aplikasinya lumayan membantu UH biologi saya yang awalnya 42 jadi 90 saya berterimakasih dengan aplikasi ini karena telah membantu saya mendapatkan nilai tinggi. Tapi tolong tambah pelajaran Informatika dong agar mudah.tolong ada bug saya tidak bisa komentar di live teaching sudah be berapa kali di lapor sama aja,4 Januari 2024
Mohon untuk memperbaiki fitur drilling soal karena saat saya mengerjakan soal maupun jawaban ngeglitch dan tiba-tiba hilang kalimatnya,24 Maret 2024
"Agak aneh apk nya Saya udah try out kuota tryout udah habis ,tapi ga bisa lihat hasil pencapaian aneh kan",29 Maret 2024
Kacau banget udah langganan 500rb buat fokus ke utbk.. masa bagian try out nya harus bayar lagi.. padahal kan gua langganan bagian utbk buat try out nya.. rugi dong,24 Februari 2024
materi utbk-nya interaktif dan mudah dimengerti. fitur laporan belajar dan review materi juga membantu banget buat tau kekurangan kita dimana👍,11 April 2024
Ini aplikasi sangat membantu untuk saya Saya yang belajar paket b begitu bingung mau ngapain. Untung ada aplikasi ini Dan saya bisa belajar banyak hal,20 Maret 2024
"Aplikasinya bagus tapi lama pendaftarannya tolong dong harus memasukan nomor telepon, lah nama sekolah",2 Maret 2024
"aplikasi bagus bangetttttt, pokoknya jangan di raguin lagi deh, yuk daftar kan diri mu menjadi murid ruangguru 😄",24 Maret 2024
"Good, bikin mood bljr naik, dan penjelasan nya mudah dipahami",11 April 2024
Bagus karena guru nya ceria baik dan sabar dalam mengajar walaupun online,25 Maret 2024
"Sangat membantu bagi para pelajar, penjelasannya benar benar mendetail",1 April 2024
Ini sangat menyenangkan dan bisa jadi motivasi untuk belajar yok download sekarang,5 April 2024
"ngelag banget sih aplikasinya, sering error' juga, g jls bgt",26 Februari 2024
"Sangat bagus dan keren, harga terjangkau dan bermanfaat",4 April 2024
"Enggak rugi berlangganan ruangguru! Materi pembelajarannya mudah dipahami dan sangat interaktif, belajar jadi tidak membosankan. Tapi kenapa jadi susah masuk app nya loading nya juga lama padahal jaringan internet stabil",21 April 2024
kalo download materi nya exp + tugas pet nya ga jalan ka padahal uda nonton ber bab² offline nya,5 April 2024
"Tolong tim ruangguru, kroscek lagi mana yg belum perpanjang paket dan mana yg sudah perpanjangan.. Saya agak terganggu karena seringnya masuk chat dari marketing ruangguru menawarkan perpanjang paket padahal kami sudah melakukannya. Bukan hanya ke nomer saya, tapi juga nomer anak saya. Apalagi di waktu istirahat malam, mengapa sering sekali chat di malam hari, itu cukup mengganggu customer karena sdg istirahat dipikir chat penting ternyata spam.",31 Januari 2024
Untuk Pembelajaran UTBK nya Mudah Sekali Dipahami makasih juga udah nyediain sistem kilat nya . Pembahasan ringan dan ringkas tapi tetap mudah dipahami . Pelayanan admin nya juga ramah dan gercep,25 November 2023
"Tolong bgtt buat ruang guru kalo mau cek rasionalisasi trs ngubah data plss jangan ilang semua datanya otomatis ngisi ulang dari awal, kalo misal kesimpen kan kita cmn perlu perbaikan yg perlu diubah ajaaga ngulang semua data. Kadang uda ngisi pjg bgt pas diakhir ngeblank gbs kesimpen trs ngulang data itu cape bgt n bnr² bikin bete😩😩😩😩😩",25 Januari 2024
"Mohon maaf Sebelumnya, tolong di perbaharui dari drill soal karena yang keluar soalnya itu2 aja gak ada yang baru jadi, isiannya juga kurang menantang terutama pada pelajaran literasi bahasa Indonesia untuk UTBK, bukan hanya itu tapi di semua soal, untuk materinya ruangguru jagonya karena mudah di pahami",11 Januari 2024
"Haloo kakak kakak ruang guru, perkenalkan nama saya Kaniaa, semenjak saya menggunakan ruang guru saya mendapatkan banyak pelajaran tambahan. Tetapii .. ada kekurangannya jugaa, yaitu saat ingin menjawab soal kadang kadang soal tidak muncul dan jawabannya juga..., semoga bisa diperbaiki yaa!!, semangat belajar buat semuanyaaa.",22 Januari 2024
Menurut aku rekomendasi banget aplikasi ruang guru ini ke ibu yang hari hari nya sangat sibuk..melalui aplikasi di gejed kita bisa belajar dengan anak kita di rumah soalnya soalnya juga sangat mudah di pahami.terimakasih ruang guru..,23 Januari 2024
"Hmm,aplikasi ruang guru ini aplikasi bagus,dan cukup membantu untuk anak anak untuk belajar materi yang mungkin dari sekolah atau yang tidak disekolah fiturnya lumayan lengkap disertakan video dan juga ada pilihan tingkatan kelas nya juga",21 Desember 2023
"kak, kenapa setelah di update fungsi screenshot dan beberapa video dalam adapto bermasalah ya? semoga bisa di tingkantkan lagi ya kak aplikasi nya",29 November 2023
"Aplikasi sangat berguna dan bermanfaat buat para pelajar, materi mudah di pahami dan jelas, dan juga memudahkan bisa belajar kapanpun dimanapun..",14 Januari 2024
"Udh bagus😎👍 tapi tolong di buat panduan tutorial untuk yg baru daftar, aku sendiri kebingungan waktu pertama kali daftar udh beli paket masih bingung😕❓, ""la belajar harus gimana?"", "" Aku harus gapain"", ""la kok bisa gini"", "" La bukan udh beli paket tapi kok harus disuruh bayar lagi "" Yaa itu la beberapa contoh yg bikin bingung, yaa intinya tolong di kasih penjelasan untuk pengguna baru🤓👍",6 Januari 2024
"Untuk fitur rasional SNBP udah sangat bagus, cuman saran saya saat mau mengganti data, datanya tetap ada agar tidak ribet lagi mengulang mengisi data raport, nilai² dan segala macam yang cukup banyak itu, karena yang ada ini datanya langsung keulang dari 0 tidak tetap begutu, itu saran saya semoga menjadi lebih baik lagi, terimakasih 🙏🏻",16 Januari 2024
Aplikasi bener - bener bagus..anak anak jadi mudah paham dan ngerti tentang materinya. Yang lebih penting anak anak jadi tidak gampang bosan karena pakai video jadi ga melulu baca. Mantap deh ruangguru..,14 Januari 2024
"Min, mau komplain kadang buka adaptox gak bisa padahal sinya bagus, bisa kasih solusi gak. Kalo dari apk nya udah bagus banget gw suka",11 Desember 2023
"Sangat tidak bagus dalam mengatasi masalah yang terjadi dalam proses pembelajaran, harga yang diberikan bukanlah harga yang murah dan fasilitas yang didapat cukup kurang memadai ditambah dengan lah dan masalah yang sering terjadi seperti bintang yang tidak muncul, lag dan sering error yang mengakibatkan proses pembelajaran kurang maksimal untuk para brainies",14 Desember 2023
"Kenapa ya saat nonton video pembelajaran tidak dapat xp dan koin,tidak seperti pas tahun pertama pakai,padahal beli paket yang 2 tahun lebih,tolong lah perbaiki takut ada masalah di sistemnya",16 Januari 2024
"Aplikasi ini yang terbaik dari semua yang pernah saya gunakan untuk membimbing anak saya, Dengan bantuan aplikasi ini, saya bisa mengukur sejauh mana anak saya bisa menguasai pelajaran di sekolah nya",23 Januari 2024
"Ruang guru adalah salah satu aplikasi yang sangat sangat membantu, apa lagi untuk tingkat pelajaran yang sudah tinggi cocok bangat untuk bergabung dengan ruang guru",20 Januari 2024
"Yg punya anak usia belajar bagus nih kalo mentok ga bisa ngajarin ya solusinya disini , bagus berkualitas dan sesuai kurikulum anak² pas pula sesuai kelas mereka Jangan ragu kalo pilih kursus oke nih",14 Januari 2024
"Apk yg sangat bagus danjuga sangat membantu perkemangan belajar,cuman ada yg kurang yaitu tolong tambah kan pelajaran PABP (Pendidikan Agama dan Budi Pekerti) walaupun bukan materi pokok tapi seharusnya di tambahkan karna sama sama pelajaran semoga nanti ditambahin pliss😇🙏",13 Februari 2024
"Fitur nya sudah bagus,dan juga video bisa saya pahami sedikit demi sedikit, tetapi knp saat saya ingin menguji diri sendiri/kuis, tidak ada soalnya?. Hanya kosong",5 Februari 2024
"Bantu banget buat anak belajar dirumah, apalagi buat emak2 mageran dan punya baby, ga perlu ribet antar anak les kesana kemari. Daripada anak sibuk main game gak jelas🥲",15 Desember 2023
"Bagus, jadi paham materi di sekolah. Pembahasannya kadang terlalu cepat, jadi berharap ada fitur subtitle",11 Februari 2024
Aplikasi yang sangat membantu untuk orang tua dan memberikan pengalaman baru untuk putra saya dan pastinya saya juga dapat belajar dengan mudah untuk membantu putra saya mencapai prestasi,14 Januari 2024
Alhamdulilah bnyk bngt kemajuan buat anakku belajar.semenjak ada ruang guru.nilai anakki smakin meningkat.dri mulai pas smp klas 1..smpe skrng smk klas 2.alhamdulilah masih setia di ruang guru.krn memang bagus buat meningkatkan kinerja belajar anakku.,11 Januari 2024
Aplikasinya sangat membantu apalagi buat saya yang cara belajar audio karena banyak video yang membantu dan quiz disela-sela video.,6 Desember 2023
Padahal jaringan nya baik baik saja tapi disitu tertulis error.,28 April 2024
"Aplikasi ini sangat membantu ,dan bimbingan belajar yang sangat aplikatip dan efisien .serta cara belajar anak mudah paham .",18 Januari 2024
Wihh ini ruang guru sangat membantu ku saat aku lagi kesulitan makanya aku kasih bintang 5 nihh coba kalian donloud ini pasti kalian bisa belajar dengan mudah nya di ruang guru!,25 Januari 2024
"sistem batas 2 perangkatnya menyusahkan belajar, apalagi saya punya 3 perangkat dan akhirnya hp saya yang kena batas sesi. sistemnya sangat mengecewakan, apalagi lagi butuh²nya ruang guru.",26 November 2023
"Fitur sudah diperbaiki, harusnya kedepan fitur tetep lengkap dan tidak ada bug lagi, Terimakasih",14 Desember 2023
"Aplikasi yg bermanfaat membantu kita dalam belajar, lengkap dari sd sampai smk pun ada semua. Semoga terus berkembang menjadi lebih baik 👍",19 Januari 2024
Bagus banget tapi aku pengen di ruang guru tu ada vidio hiburan TPI tentang pelajaran jadi habis belajar bisa refresh dulu contoh nya kayak saling membantu itu baik,27 Desember 2023
"Menurut saya penjelasan nya bagus untuk yang konten Indonesia, tapi untuk konten bahasa Inggrisnya menurut saya kurang. Dari tonasi dll nya masih agak kurang penyampaian nya terdengar flat dan kurang aja si menurut saya",8 Maret 2024
"Gurunya ramah, penjelasanya mudah dimengerti",12 April 2024
"pembelajarannya bagus untuk anak sd smp dan lain lain... juga banyak yg unik kayak hewan peliharaannya,dan avatar avatar yg keren... bagus deh pokoknya...",21 Februari 2024
Bagus cepat memahami pembelajaran dengan mengenakan konsep konsep vidio apalagi ada brand academy jadi bisa berinteraksi dengan ticher ticher dan bisa berkomunikasi dengan teman teman brany academy. Banyak lagi fiturnya di ruang guru ini,8 April 2024
Bermanfaat bagi guru dan murid agar makin memahami,6 Maret 2024
